,Architecture,CPU(s),CPU MHz,CPU max MHz,CPU min MHz,L1d cache,L1i cache,L2 cache,L3 cache,hyper_thread,N,O1,O2,test_number,loss
25,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,100,1,0,2,0.0
26,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,150,1,0,2,25.39309799275
27,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,200,1,0,2,0.0
28,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,25,1,0,3,24.32699366664003
29,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,50,1,0,3,12.284152490933215
30,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,100,1,0,3,7.846969056668658
31,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,150,1,0,3,5.182370218985293
32,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,200,1,0,3,4.1210077606717075
33,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,300,1,0,3,2.7383366756026284
34,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,500,1,0,3,2.260727210823061
35,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,1000,1,0,3,1.3318989453862613
36,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,1200,1,0,3,1.1849570105071012
37,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,25,1,0,4,0.0
38,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,50,1,0,4,3.823630333592543
39,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,100,1,0,4,0.2766436908881145
40,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,150,1,0,4,0.2710795619321489
41,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,200,1,0,4,1.104175421408569
42,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,300,1,0,4,0.30362131809835047
43,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,500,1,0,4,0.8880782430921097
44,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,1000,1,0,4,0.9449681694570844
45,x86_64,0,3600.260,"3600,0000","800,0000",32KiB(1instance),32KiB(1instance),4MiB(1instance),16MiB(1instance),1,1200,1,0,4,0.8633546080309612
0,x86_64,0-3,"0,0",2300.0000,400.0000,64KiB(2instances),64KiB(2instances),512KiB(2instances),3MiB(1instance),1,25,1,0,1,10.593249538948013
1,x86_64,0-3,"0,0",2300.0000,400.0000,64KiB(2instances),64KiB(2instances),512KiB(2instances),3MiB(1instance),1,50,1,0,1,14.639795663824936
2,x86_64,0-3,"0,0",2300.0000,400.0000,64KiB(2instances),64KiB(2instances),512KiB(2instances),3MiB(1instance),1,100,1,0,1,10.518223439999915
3,x86_64,0-3,"0,0",2300.0000,400.0000,64KiB(2instances),64KiB(2instances),512KiB(2instances),3MiB(1instance),1,150,1,0,1,8.196768332234868
4,x86_64,0-3,"0,0",2300.0000,400.0000,64KiB(2instances),64KiB(2instances),512KiB(2instances),3MiB(1instance),1,200,1,0,1,22.042824726669053
5,x86_64,0-3,"0,0",2300.0000,400.0000,64KiB(2instances),64KiB(2instances),512KiB(2instances),3MiB(1instance),1,300,1,0,1,13.746764565689771
6,x86_64,0-3,"0,0",2300.0000,400.0000,64KiB(2instances),64KiB(2instances),512KiB(2instances),3MiB(1instance),1,500,1,0,1,24.9736552663069
0,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,25,1,0,1,12.31028125257897
1,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,50,1,0,1,20.90177983301427
2,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,100,1,0,1,15.198096217631365
3,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,150,1,0,1,12.21228727885446
4,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,200,1,0,1,9.363372715252197
5,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,300,1,0,1,30.514092696207875
6,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,500,1,0,1,13.270381517804847
7,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,1000,1,0,1,12.65266389173212
8,x86_64,"10-19,30-39",1326.391,"3100,0000","1200,0000",32K,32K,256K,25600K,1,1200,1,0,1,0.4625127528766396
